complexity,loss,equation,score,sympy_format,lambda_format
53,14.782474,(((((x28 + x64) + (sqrt(x26) + sqrt(x24 + x20))) - (sqrt(x61) - (sqrt(x19) - sqrt(x60)))) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.30070356 - (x29 * x64)))))) * -1.4157851) - ((x51 * -0.9209516) - square(2.2382457 - x28))) * 0.18559292)) - sqrt(x59)) / 0.6895003,0.002953086430726341,0.381087130493623*x11 + 1.45032569238911*sqrt(x19) + 0.381087130493623*x22 + 1.45032569238911*sqrt(x26) + 1.45032569238911*x28 - 0.247892708128875*x51 - 0.381087130493623*x55 + 0.381087130493623*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.45032569238911*sqrt(x59) - 1.45032569238911*sqrt(x60) - 1.45032569238911*sqrt(x61) + 1.45032569238911*x64 - 0.269170180201517*(2.2382457 - x28)**2 + 1.45032569238911*sqrt(x20 + x24),PySRFunction(X=>0.381087130493623*x11 + 1.45032569238911*sqrt(x19) + 0.381087130493623*x22 + 1.45032569238911*sqrt(x26) + 1.45032569238911*x28 - 0.247892708128875*x51 - 0.381087130493623*x55 + 0.381087130493623*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.45032569238911*sqrt(x59) - 1.45032569238911*sqrt(x60) - 1.45032569238911*sqrt(x61) + 1.45032569238911*x64 - 0.269170180201517*(2.2382457 - x28)**2 + 1.45032569238911*sqrt(x20 + x24))
54,14.744369,(x64 + ((sqrt(x26) + (((sqrt(x24 + x20) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(x60)))) - ((((x11 - (x55 - ((sqrt(x57) / (-0.30070356 - (x29 * x64))) + x22))) * -1.2693399) - ((x51 / -0.9209516) - square(x28 - 2.2382457))) * 0.18559292)) + x28)) - sqrt(x59))) / 0.6895003,0.002581042690810422,0.341668449619976*x11 + 1.45032569238911*x18**(1/4) + 0.341668449619976*x22 + 1.45032569238911*sqrt(x26) + 1.45032569238911*x28 - 0.292273969882366*x51 - 0.341668449619976*x55 + 0.341668449619976*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.45032569238911*sqrt(x59) - 1.45032569238911*sqrt(x60) - 1.45032569238911*sqrt(x61) + 1.45032569238911*x64 + 1.45032569238911*sqrt(x20 + x24) - 0.269170180201517*(x28 - 2.2382457)**2,PySRFunction(X=>0.341668449619976*x11 + 1.45032569238911*x18**(1/4) + 0.341668449619976*x22 + 1.45032569238911*sqrt(x26) + 1.45032569238911*x28 - 0.292273969882366*x51 - 0.341668449619976*x55 + 0.341668449619976*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.45032569238911*sqrt(x59) - 1.45032569238911*sqrt(x60) - 1.45032569238911*sqrt(x61) + 1.45032569238911*x64 + 1.45032569238911*sqrt(x20 + x24) - 0.269170180201517*(x28 - 2.2382457)**2)
56,14.681817,(((sqrt(x26) + ((((x64 + sqrt(x24 + x20)) - ((((x11 - (x55 - ((sqrt(x57) / (-0.30070356 - (x29 * x64))) + x22))) * -1.2693399) - ((x51 / -1.2681543) - square(x28 - 1.9759455))) * 0.18559292)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(x60)))) + x28)) - sqrt(x59)) / 0.63061213) + -0.41442508,0.0021257289075236273,0.373574321371693*x11 + 1.585760806726*x18**(1/4) + 0.373574321371693*x22 + 1.585760806726*sqrt(x26) + 1.585760806726*x28 - 0.232074266153443*x51 - 0.373574321371693*x55 + 0.373574321371693*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.585760806726*sqrt(x59) - 1.585760806726*sqrt(x60) - 1.585760806726*sqrt(x61) + 1.585760806726*x64 + 1.585760806726*sqrt(x20 + x24) - 0.294305978541834*(x28 - 1.9759455)**2 - 0.41442508,PySRFunction(X=>0.373574321371693*x11 + 1.585760806726*x18**(1/4) + 0.373574321371693*x22 + 1.585760806726*sqrt(x26) + 1.585760806726*x28 - 0.232074266153443*x51 - 0.373574321371693*x55 + 0.373574321371693*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.585760806726*sqrt(x59) - 1.585760806726*sqrt(x60) - 1.585760806726*sqrt(x61) + 1.585760806726*x64 + 1.585760806726*sqrt(x20 + x24) - 0.294305978541834*(x28 - 1.9759455)**2 - 0.41442508)
57,14.576006,((((((sqrt(x24 + x20) + x64) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.30070356 - (x64 * x29)))))) * -1.2801632) - ((x51 / -0.97099155) - square(1.9759455 - x28))) * 0.18559292)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))) + (x28 - sqrt(x59))) + sqrt(x26)) / 0.63061213) - 0.57882327,0.007233037215898357,0.376759683269245*x11 + 1.585760806726*x18**(1/4) + 0.376759683269245*x22 + 1.585760806726*sqrt(x26) + 1.585760806726*x28 - 0.303098393123847*x51 - 0.376759683269245*x55 + 0.376759683269245*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.585760806726*sqrt(x59) - 1.585760806726*x60**(1/4) - 1.585760806726*sqrt(x61) + 1.585760806726*x64 - 0.294305978541834*(1.9759455 - x28)**2 + 1.585760806726*sqrt(x20 + x24) - 0.57882327,PySRFunction(X=>0.376759683269245*x11 + 1.585760806726*x18**(1/4) + 0.376759683269245*x22 + 1.585760806726*sqrt(x26) + 1.585760806726*x28 - 0.303098393123847*x51 - 0.376759683269245*x55 + 0.376759683269245*sqrt(x57)/(-x29*x64 - 0.30070356) - 1.585760806726*sqrt(x59) - 1.585760806726*x60**(1/4) - 1.585760806726*sqrt(x61) + 1.585760806726*x64 - 0.294305978541834*(1.9759455 - x28)**2 + 1.585760806726*sqrt(x20 + x24) - 0.57882327)
58,14.419804,(sqrt(x24 + x20) + ((((x64 + ((x28 + sqrt(x26)) - ((((x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))) * -1.7893788) + (x53 - ((x51 / -0.90008205) - square(1.2536067 - x28)))) * 0.12946607))) * 1.1875407) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(x60)))) - sqrt(x59))) / 0.6572176,0.010774212621665072,0.418598406188286*x11 + 1.52156606883321*x18**(1/4) + 0.418598406188286*x22 + 1.80692163447844*sqrt(x26) + 1.80692163447844*x28 - 0.259904130755525*x51 - 0.233935042813901*x53 - 0.418598406188286*x55 + 0.418598406188286*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.52156606883321*sqrt(x60) - 1.52156606883321*sqrt(x61) + 1.80692163447844*x64 - 0.233935042813901*(1.2536067 - x28)**2 + 1.52156606883321*sqrt(x20 + x24),PySRFunction(X=>0.418598406188286*x11 + 1.52156606883321*x18**(1/4) + 0.418598406188286*x22 + 1.80692163447844*sqrt(x26) + 1.80692163447844*x28 - 0.259904130755525*x51 - 0.233935042813901*x53 - 0.418598406188286*x55 + 0.418598406188286*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.52156606883321*sqrt(x60) - 1.52156606883321*sqrt(x61) + 1.80692163447844*x64 - 0.233935042813901*(1.2536067 - x28)**2 + 1.52156606883321*sqrt(x20 + x24))
59,14.219674,(((sqrt(x20 + x24) + ((((x28 + sqrt(x26)) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x29 * x64)))))) * -1.7893788) + x53) - ((x51 / -0.89536464) - square(x28 - 1.2511926))) * 0.12946607)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))) * 1.1617291)) + x64) - sqrt(x59)) / 0.6572176,0.01397604087621821,0.409500027815933*x11 + 1.76764757973615*x18**(1/4) + 0.409500027815933*x22 + 1.76764757973615*sqrt(x26) + 1.76764757973615*x28 - 0.255594620414595*x51 - 0.228850385293451*x53 - 0.409500027815933*x55 + 0.409500027815933*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.76764757973615*x60**(1/4) - 1.76764757973615*sqrt(x61) + 1.52156606883321*x64 + 1.52156606883321*sqrt(x20 + x24) - 0.228850385293451*(x28 - 1.2511926)**2,PySRFunction(X=>0.409500027815933*x11 + 1.76764757973615*x18**(1/4) + 0.409500027815933*x22 + 1.76764757973615*sqrt(x26) + 1.76764757973615*x28 - 0.255594620414595*x51 - 0.228850385293451*x53 - 0.409500027815933*x55 + 0.409500027815933*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.76764757973615*x60**(1/4) - 1.76764757973615*sqrt(x61) + 1.52156606883321*x64 + 1.52156606883321*sqrt(x20 + x24) - 0.228850385293451*(x28 - 1.2511926)**2)
61,14.167676,((((((sqrt(x20 + x24) + sqrt(x26)) + ((x28 + x64) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + x53) - ((x51 / -0.89536464) - square(x28 - 1.3628746))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))) - sqrt(x59)) / 0.5913428) + x66) + -0.5163354,0.0018317334360329702,0.391758961092138*x11 + 1.69106650152839*x18**(1/4) + 0.391758961092138*x22 + 1.69106650152839*sqrt(x26) + 1.69106650152839*x28 - 0.244521309286381*x51 - 0.218935734061529*x53 - 0.391758961092138*x55 + 0.391758961092138*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.69106650152839*sqrt(x59) - 1.69106650152839*x60**(1/4) - 1.69106650152839*sqrt(x61) + 1.69106650152839*x64 + x66 + 1.69106650152839*sqrt(x20 + x24) - 0.218935734061529*(x28 - 1.3628746)**2 - 0.5163354,PySRFunction(X=>0.391758961092138*x11 + 1.69106650152839*x18**(1/4) + 0.391758961092138*x22 + 1.69106650152839*sqrt(x26) + 1.69106650152839*x28 - 0.244521309286381*x51 - 0.218935734061529*x53 - 0.391758961092138*x55 + 0.391758961092138*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.69106650152839*sqrt(x59) - 1.69106650152839*x60**(1/4) - 1.69106650152839*sqrt(x61) + 1.69106650152839*x64 + x66 + 1.69106650152839*sqrt(x20 + x24) - 0.218935734061529*(x28 - 1.3628746)**2 - 0.5163354)
63,14.022317,(((((x64 + ((x28 + (sqrt(x26) - (((x53 - x17) + (((x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))) * -1.7893788) - ((x51 / -0.8337119) - square(1.3628746 - x28)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) + sqrt(x20 + x24)) - sqrt(x59)) / 0.60407466) - 0.82298607) + x66,0.00515644996128171,0.383502001188588*x11 + 0.214321305912749*x17 + 1.6554245132547*x18**(1/4) + 0.383502001188588*x22 + 1.6554245132547*sqrt(x26) + 1.6554245132547*x28 - 0.257068785887246*x51 - 0.214321305912749*x53 - 0.383502001188588*x55 + 0.383502001188588*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.6554245132547*sqrt(x59) - 1.6554245132547*x60**(1/4) - 1.6554245132547*sqrt(x61) + 1.6554245132547*x64 + x66 - 0.214321305912749*(1.3628746 - x28)**2 + 1.6554245132547*sqrt(x20 + x24) - 0.82298607,PySRFunction(X=>0.383502001188588*x11 + 0.214321305912749*x17 + 1.6554245132547*x18**(1/4) + 0.383502001188588*x22 + 1.6554245132547*sqrt(x26) + 1.6554245132547*x28 - 0.257068785887246*x51 - 0.214321305912749*x53 - 0.383502001188588*x55 + 0.383502001188588*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.6554245132547*sqrt(x59) - 1.6554245132547*x60**(1/4) - 1.6554245132547*sqrt(x61) + 1.6554245132547*x64 + x66 - 0.214321305912749*(1.3628746 - x28)**2 + 1.6554245132547*sqrt(x20 + x24) - 0.82298607)
65,13.916987,(x66 + (((((x64 + ((x28 + (sqrt(x26) - ((((x53 + ((x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))) * -1.7893788)) - ((x51 / -0.89536464) - square(x28 - 1.3628746))) - x17) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.1377351) + sqrt(x24 + x20)) - sqrt(x59)) / 0.6572176)) - 0.87847024,0.003769975766326531,0.401042338611612*x11 + 0.224123778940273*x17 + 1.73113912348056*x18**(1/4) + 0.401042338611612*x22 + 1.73113912348056*sqrt(x26) + 1.73113912348056*x28 - 0.250315646751779*x51 - 0.224123778940273*x53 - 0.401042338611612*x55 + 0.401042338611612*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.73113912348056*x60**(1/4) - 1.73113912348056*sqrt(x61) + 1.73113912348056*x64 + x66 + 1.52156606883321*sqrt(x20 + x24) - 0.224123778940273*(x28 - 1.3628746)**2 - 0.87847024,PySRFunction(X=>0.401042338611612*x11 + 0.224123778940273*x17 + 1.73113912348056*x18**(1/4) + 0.401042338611612*x22 + 1.73113912348056*sqrt(x26) + 1.73113912348056*x28 - 0.250315646751779*x51 - 0.224123778940273*x53 - 0.401042338611612*x55 + 0.401042338611612*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.73113912348056*x60**(1/4) - 1.73113912348056*sqrt(x61) + 1.73113912348056*x64 + x66 + 1.52156606883321*sqrt(x20 + x24) - 0.224123778940273*(x28 - 1.3628746)**2 - 0.87847024)
67,13.779208,x66 + (((((x64 + (sqrt(x24 + x20) + ((x28 + (sqrt(x26) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x29 * x64)))))) * -1.7893788) + x53) - ((x51 * -0.89536464) - (square(x28 - 1.3226156) - x17))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))))) * 1.0764194) - sqrt(x59)) / 0.6572176) - sqrt(sqrt(x49))),0.004974695497501928,0.379429054709579*x11 + 0.212045126895199*x17 + 1.63784323487381*x18**(1/4) + 0.379429054709579*x22 + 1.63784323487381*sqrt(x26) + 1.63784323487381*x28 - x49**(1/4) - 0.189857708706274*x51 - 0.212045126895199*x53 - 0.379429054709579*x55 + 0.379429054709579*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.63784323487381*x60**(1/4) - 1.63784323487381*sqrt(x61) + 1.63784323487381*x64 + x66 + 1.63784323487381*sqrt(x20 + x24) - 0.212045126895199*(x28 - 1.3226156)**2,PySRFunction(X=>0.379429054709579*x11 + 0.212045126895199*x17 + 1.63784323487381*x18**(1/4) + 0.379429054709579*x22 + 1.63784323487381*sqrt(x26) + 1.63784323487381*x28 - x49**(1/4) - 0.189857708706274*x51 - 0.212045126895199*x53 - 0.379429054709579*x55 + 0.379429054709579*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.63784323487381*x60**(1/4) - 1.63784323487381*sqrt(x61) + 1.63784323487381*x64 + x66 + 1.63784323487381*sqrt(x20 + x24) - 0.212045126895199*(x28 - 1.3226156)**2)
69,13.705698,x66 + (((((x64 + sqrt(x24 + x20)) + ((x28 + ((sqrt(x26) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + (x53 - ((x51 * -0.89536464) - ((square(x28 - 1.3226156) - x17) - x19)))) * 0.12946607)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.0764194)) - sqrt(x59)) / 0.6572176) - sqrt(sqrt(x49))),0.002674565278833309,0.379429054709579*x11 + 0.212045126895199*x17 + 1.63784323487381*x18**(1/4) + 0.212045126895199*x19 + 0.379429054709579*x22 + 1.63784323487381*sqrt(x26) + 1.63784323487381*x28 - x49**(1/4) - 0.189857708706274*x51 - 0.212045126895199*x53 - 0.379429054709579*x55 + 0.379429054709579*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.63784323487381*x60**(1/4) - 1.63784323487381*sqrt(x61) + 1.52156606883321*x64 + x66 + 1.52156606883321*sqrt(x20 + x24) - 0.212045126895199*(x28 - 1.3226156)**2,PySRFunction(X=>0.379429054709579*x11 + 0.212045126895199*x17 + 1.63784323487381*x18**(1/4) + 0.212045126895199*x19 + 0.379429054709579*x22 + 1.63784323487381*sqrt(x26) + 1.63784323487381*x28 - x49**(1/4) - 0.189857708706274*x51 - 0.212045126895199*x53 - 0.379429054709579*x55 + 0.379429054709579*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.63784323487381*x60**(1/4) - 1.63784323487381*sqrt(x61) + 1.52156606883321*x64 + x66 + 1.52156606883321*sqrt(x20 + x24) - 0.212045126895199*(x28 - 1.3226156)**2)
71,13.692388,((x66 + (((((x64 + sqrt(x24 + x20)) + ((x28 + (sqrt(x26) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + (x53 - ((x51 * -0.89536464) - ((square(x28 - 1.3226156) - x17) - x19)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6572176)) - sqrt(sqrt(x49))) + -0.14659633,0.0004858003966796244,0.379429054709579*x11 + 0.212045126895199*x17 + 1.63784323487381*x18**(1/4) + 0.212045126895199*x19 + 0.379429054709579*x22 + 1.63784323487381*sqrt(x26) + 1.63784323487381*x28 - x49**(1/4) - 0.189857708706274*x51 - 0.212045126895199*x53 - 0.379429054709579*x55 + 0.379429054709579*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.63784323487381*x60**(1/4) - 1.63784323487381*sqrt(x61) + 1.63784323487381*x64 + x66 + 1.63784323487381*sqrt(x20 + x24) - 0.212045126895199*(x28 - 1.3226156)**2 - 0.14659633,PySRFunction(X=>0.379429054709579*x11 + 0.212045126895199*x17 + 1.63784323487381*x18**(1/4) + 0.212045126895199*x19 + 0.379429054709579*x22 + 1.63784323487381*sqrt(x26) + 1.63784323487381*x28 - x49**(1/4) - 0.189857708706274*x51 - 0.212045126895199*x53 - 0.379429054709579*x55 + 0.379429054709579*sqrt(x57)/(-x29*x64 - 0.32262117) - 1.52156606883321*sqrt(x59) - 1.63784323487381*x60**(1/4) - 1.63784323487381*sqrt(x61) + 1.63784323487381*x64 + x66 + 1.63784323487381*sqrt(x20 + x24) - 0.212045126895199*(x28 - 1.3226156)**2 - 0.14659633)
