complexity,loss,equation,score,sympy_format,lambda_format
17,21.928482,sqrt(x26) + (((sqrt(x28) + (x64 + (sqrt(x61) * -0.9713145))) * 2.6108963) - sqrt(x59)),0.01785691035470079,sqrt(x26) + 2.6108963*sqrt(x28) - sqrt(x59) - 2.53600143418635*sqrt(x61) + 2.6108963*x64,PySRFunction(X=>sqrt(x26) + 2.6108963*sqrt(x28) - sqrt(x59) - 2.53600143418635*sqrt(x61) + 2.6108963*x64)
18,21.694767,sqrt(x26) + (((x64 + ((sqrt(sqrt(x61)) * -1.5669539) + sqrt(x28))) * 2.9179718) - sqrt(x59)),0.010715260396882696,sqrt(x26) + 2.9179718*sqrt(x28) - sqrt(x59) - 4.57232729210002*x61**(1/4) + 2.9179718*x64,PySRFunction(X=>sqrt(x26) + 2.9179718*sqrt(x28) - sqrt(x59) - 4.57232729210002*x61**(1/4) + 2.9179718*x64)
19,21.503555,(((2.916133 * (((sqrt(x61) / -1.249133) + x64) + sqrt(x28))) + sqrt(x26)) - sqrt(x59)) - 1.1766962,0.008852809088630204,sqrt(x26) + 2.916133*sqrt(x28) - sqrt(x59) - 2.33452562697487*sqrt(x61) + 2.916133*x64 - 1.1766962,PySRFunction(X=>sqrt(x26) + 2.916133*sqrt(x28) - sqrt(x59) - 2.33452562697487*sqrt(x61) + 2.916133*x64 - 1.1766962)
20,20.927492,sqrt(x26) + (((((sqrt(x61) * -0.6839969) + (x64 + sqrt(x28))) * 3.1161475) - sqrt(x55)) - sqrt(x59)),0.027154569022342714,sqrt(x26) + 3.1161475*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.13143522994275*sqrt(x61) + 3.1161475*x64,PySRFunction(X=>sqrt(x26) + 3.1161475*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.13143522994275*sqrt(x61) + 3.1161475*x64)
22,20.3557,(((x64 + ((sqrt(x61) * -0.7404436) + sqrt(x28))) * 2.9141922) + (sqrt(x26 + x18) - sqrt(x55))) - sqrt(x59),0.01385136516568449,2.9141922*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.15779496365992*sqrt(x61) + 2.9141922*x64 + sqrt(x18 + x26),PySRFunction(X=>2.9141922*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.15779496365992*sqrt(x61) + 2.9141922*x64 + sqrt(x18 + x26))
23,19.677393,sqrt(x22) + (sqrt(x26) + ((((x64 + (sqrt(x28) + (sqrt(x61) * -0.91793317))) * 2.7262244) - sqrt(x55)) - sqrt(x59))),0.03389055761145104,sqrt(x22) + sqrt(x26) + 2.7262244*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.50249180562335*sqrt(x61) + 2.7262244*x64,PySRFunction(X=>sqrt(x22) + sqrt(x26) + 2.7262244*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.50249180562335*sqrt(x61) + 2.7262244*x64)
25,19.206324,(((((sqrt(x28) + x64) + (sqrt(x61) * -0.9811071)) * 2.602614) - sqrt(x55)) + (sqrt(x26) + sqrt(x19 + x22))) - sqrt(x59),0.012115406767676374,sqrt(x26) + 2.602614*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.5534430739594*sqrt(x61) + 2.602614*x64 + sqrt(x19 + x22),PySRFunction(X=>sqrt(x26) + 2.602614*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.5534430739594*sqrt(x61) + 2.602614*x64 + sqrt(x19 + x22))
27,18.430473,(sqrt(x26) - sqrt(x59)) + (((sqrt(x18 + x22) - sqrt(x55)) - 1.8618401) + (((sqrt(x28) + x64) + (sqrt(x61) * -0.7738541)) * 3.087069)),0.02061708188607108,sqrt(x26) + 3.087069*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.3889410026329*sqrt(x61) + 3.087069*x64 + sqrt(x18 + x22) - 1.8618401,PySRFunction(X=>sqrt(x26) + 3.087069*sqrt(x28) - sqrt(x55) - sqrt(x59) - 2.3889410026329*sqrt(x61) + 3.087069*x64 + sqrt(x18 + x22) - 1.8618401)
28,18.214281,((((((sqrt(x28) + x64) + (sqrt(x61) * -0.76796037)) * 3.0105243) + sqrt(x26)) - sqrt(x59)) + (sqrt(x18 + x22) - sqrt(x55))) - sqrt(x52),0.011799479309951916,sqrt(x26) + 3.0105243*sqrt(x28) - sqrt(x52) - sqrt(x55) - sqrt(x59) - 2.31196335532199*sqrt(x61) + 3.0105243*x64 + sqrt(x18 + x22),PySRFunction(X=>sqrt(x26) + 3.0105243*sqrt(x28) - sqrt(x52) - sqrt(x55) - sqrt(x59) - 2.31196335532199*sqrt(x61) + 3.0105243*x64 + sqrt(x18 + x22))
29,18.087578,(((sqrt(x22 + x18) + ((sqrt(x26) - sqrt(x59)) - sqrt(x55))) * 1.3491462) + ((sqrt(x28) + ((sqrt(x61) * -0.76796037) + x64)) * 3.0105243)) - 1.8657213,0.0069805524008790445,1.3491462*sqrt(x26) + 3.0105243*sqrt(x28) - 1.3491462*sqrt(x55) - 1.3491462*sqrt(x59) - 2.31196335532199*sqrt(x61) + 3.0105243*x64 + 1.3491462*sqrt(x18 + x22) - 1.8657213,PySRFunction(X=>1.3491462*sqrt(x26) + 3.0105243*sqrt(x28) - 1.3491462*sqrt(x55) - 1.3491462*sqrt(x59) - 2.31196335532199*sqrt(x61) + 3.0105243*x64 + 1.3491462*sqrt(x18 + x22) - 1.8657213)
