Complexity,Loss,Equation
57,14.576006,"((((((sqrt(x24 + x20) + x64) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.30070356 - (x64 * x29)))))) * -1.2801632) - ((x51 / -0.97099155) - square(1.9759455 - x28))) * 0.18559292)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))) + (x28 - sqrt(x59))) + sqrt(x26)) / 0.63061213) - 0.57882327"
58,14.419804,"(sqrt(x24 + x20) + ((((x64 + ((x28 + sqrt(x26)) - ((((x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))) * -1.7893788) + (x53 - ((x51 / -0.90008205) - square(1.2536067 - x28)))) * 0.12946607))) * 1.1875407) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(x60)))) - sqrt(x59))) / 0.6572176"
59,14.219674,"(((sqrt(x20 + x24) + ((((x28 + sqrt(x26)) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x29 * x64)))))) * -1.7893788) + x53) - ((x51 / -0.89536464) - square(x28 - 1.2511926))) * 0.12946607)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))) * 1.1617291)) + x64) - sqrt(x59)) / 0.6572176"
61,14.167676,"((((((sqrt(x20 + x24) + sqrt(x26)) + ((x28 + x64) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + x53) - ((x51 / -0.89536464) - square(x28 - 1.3628746))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))) - sqrt(x59)) / 0.5913428) + x66) + -0.5163354"
63,14.022317,"(((((x64 + ((x28 + (sqrt(x26) - (((x53 - x17) + (((x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))) * -1.7893788) - ((x51 / -0.8337119) - square(1.3628746 - x28)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) + sqrt(x20 + x24)) - sqrt(x59)) / 0.60407466) - 0.82298607) + x66"
65,13.916987,"(x66 + (((((x64 + ((x28 + (sqrt(x26) - ((((x53 + ((x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))) * -1.7893788)) - ((x51 / -0.89536464) - square(x28 - 1.3628746))) - x17) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.1377351) + sqrt(x24 + x20)) - sqrt(x59)) / 0.6572176)) - 0.87847024"
67,13.779208,"x66 + (((((x64 + (sqrt(x24 + x20) + ((x28 + (sqrt(x26) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x29 * x64)))))) * -1.7893788) + x53) - ((x51 * -0.89536464) - (square(x28 - 1.3226156) - x17))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60))))))) * 1.0764194) - sqrt(x59)) / 0.6572176) - sqrt(sqrt(x49)))"
69,13.705698,"x66 + (((((x64 + sqrt(x24 + x20)) + ((x28 + ((sqrt(x26) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + (x53 - ((x51 * -0.89536464) - ((square(x28 - 1.3226156) - x17) - x19)))) * 0.12946607)) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.0764194)) - sqrt(x59)) / 0.6572176) - sqrt(sqrt(x49)))"
71,13.692388,"((x66 + (((((x64 + sqrt(x24 + x20)) + ((x28 + (sqrt(x26) - ((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + (x53 - ((x51 * -0.89536464) - ((square(x28 - 1.3226156) - x17) - x19)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6572176)) - sqrt(sqrt(x49))) + -0.14659633"
72,13.664034,"(x66 + ((((((x64 + (sqrt(x20 + x24) + x28)) + (sqrt(x26) - ((x53 + ((-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22)))) - ((x51 / -0.85833347) - ((square(1.3226156 - x28) - sqrt(x16)) - x13)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) + (-0.1333223 - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))"
73,13.638504,"(x66 + ((((x64 + (((sqrt(x24 + x20) + x28) + (sqrt(x26) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + x53) - (((x51 / -0.89536464) - (2.3299162 - x17)) - ((square(1.3226156 - x28) - x23) - x13))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6572176)) - sqrt(sqrt(x49))"
74,13.598061,"(x66 + ((((x64 + (((sqrt(x24 + x20) + x28) + (sqrt(x26) - (((((x11 - (x55 - (x22 + (sqrt(x57) / (-0.32262117 - (x64 * x29)))))) * -1.7893788) + x53) - (((x51 / -0.89536464) - (sqrt(x61) - x17)) - ((square(1.3226156 - x28) - x23) - x13))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6572176)) - sqrt(sqrt(x49))"
76,13.537293,"(x66 + ((((((x64 + (sqrt(x20 + x24) + x28)) + (sqrt(x26) - ((x53 + ((-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22)))) - (((x51 / -0.85833347) - (0.488191 - x17)) - ((square(1.3226156 - x28) - sqrt(x16)) - x13)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) + (-0.1333223 - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))"
77,13.53561,"(x66 + (((((x64 + (sqrt(x20 + x24) + x28)) + ((sqrt(x26) - (((x53 + (-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22))))) - (((x51 / -0.85833347) - (0.488191 - x17)) - ((square(1.3226156 - x28) - sqrt(x16)) - x13))) * square(0.36002442))) - (sqrt(x61) - ((sqrt(sqrt(x18)) + -0.1333223) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))"
78,13.520892,"((x66 + (((((((x64 + (sqrt(x20 + x24) + x28)) + sqrt(x26)) - ((x53 + ((-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22)))) - (((x51 / -0.85833347) - (0.488191 - x17)) - ((square(1.3226156 - x28) - sqrt(x16)) - x13)))) * 0.12946607)) - (sqrt(x61) - (sqrt(sqrt(x18)) + (-0.1333223 - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))) + -0.0820193"
79,13.473856,"(x66 + (((((((x64 + sqrt(x20 + x24)) + x28) + (sqrt(x26) - ((x53 + ((-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22)))) - (((x51 / -0.89536464) - (0.488191 - x17)) - ((square(1.3226156 - x28) - sqrt(x16)) - x13)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) + ((sqrt(x43) * -0.1333223) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))"
80,13.472092,"(x66 + ((((((x64 + (sqrt(x20 + x24) + x28)) + (sqrt(x26) - ((x53 + ((-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22)))) - (((x51 / -0.89536464) - (sqrt(0.488191) - x17)) - ((square(1.3226156 - x28) - sqrt(x16)) - x13)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) + ((sqrt(x43) * -0.1333223) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))"
82,13.469501,"((x66 + ((((((x64 + (sqrt(x20 + x24) + x28)) + (sqrt(x26) - ((x53 + ((-1.7893788 * (x11 - (x55 - ((sqrt(x57) / (-0.32262117 - (x64 * x29))) + x22)))) - (((x51 / -0.89536464) - (sqrt(0.488191) - x17)) - ((square(1.3226156 - x28) - sqrt(x16)) - x13)))) * 0.12946607))) - (sqrt(x61) - (sqrt(sqrt(x18)) + ((sqrt(x43) * -0.1333223) - sqrt(sqrt(x60)))))) * 1.0764194) - sqrt(x59)) / 0.6221899)) - sqrt(sqrt(x49))) - x70"
