Complexity,Loss,Equation
85,13.256404,"(sqrt(x27) * 4.070361) + (((((((sqrt(x20) + ((x11 * 0.2122599) - x27)) + -0.7902003) + ((((x28 - sqrt(x57)) - -1.3017454) - (x18 - ((sqrt(x22) + (((((sqrt(x28) + x64) - sqrt(x61)) * 5.0306845) - sqrt(x53)) - 2.7622633)) - ((x61 * -0.9517391) - (x28 * -3.924135))))) + x65)) - (x64 + sqrt(x59))) + (((x28 + (sqrt(x18 / 0.13627866) + (sqrt(sqrt(x25)) * (3.229875 - sqrt(x55))))) - sqrt(x51 + x64)) + sqrt(x18))) * 1.0839205) + x28)"
86,13.2494545,"(sqrt(x27) * 4.070361) + (x28 + (((((x65 + ((x28 - sqrt(x57)) - -1.3017454)) - (x18 - ((sqrt(x22) + ((((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845) - sqrt(x53)) - 2.7622633)) - ((x61 * -0.9517391) - (x28 * -3.924135))))) + sqrt(x20)) + (((((x11 * abs(0.3105745)) - x27) - (x64 + sqrt(x59))) + -0.8060199) + ((x28 + ((sqrt(x18) + sqrt(x18 / 0.13627866)) + (sqrt(sqrt(x25)) * (3.229875 - sqrt(x55))))) - sqrt(x64 + x51)))) * 1.0839205))"
88,13.120835,"(((((x28 - sqrt(x57)) - -1.3017454) - (x18 - (sqrt(x22) + ((((((x64 - sqrt(x61)) + sqrt(x28)) * 5.0306845) - sqrt(x53)) - 2.7622633) - ((x61 * -0.9517391) - (x28 * -3.924135)))))) + (sqrt(x18) + (-2.2798023 + ((x65 + (sqrt(x27) * 4.070361)) + (((sqrt(x17) + (sqrt(sqrt(x25)) * (3.477744 - x27))) + ((((sqrt(x20) + x28) - sqrt(x55)) + (sqrt(x18 / 0.13627866) - x64)) - sqrt(x51 + 0.3347596))) + (x28 - -0.7886504)))))) - (sqrt(x59) + x64)) * 1.0961523"
90,13.113926,"sqrt(x18) + (((((((x28 - sqrt(x57)) - -1.3017454) - (x18 - ((sqrt(x22) + (((((x64 - sqrt(x61)) + sqrt(x28)) * 5.0306845) - sqrt(x53)) - 2.7622633)) - ((x61 * -0.9517391) - (x28 * -3.924135))))) - (x64 + sqrt(x59))) + x65) + ((sqrt(x27) * 4.070361) + (sqrt(x17) + (((((((x28 + sqrt(x20)) - sqrt(x55)) - -0.051962316) - x64) - sqrt(x51 + 0.3347596)) + ((x28 + -2.2798023) - -0.7886504)) + ((sqrt(sqrt(x25)) * (3.477744 - x27)) + sqrt(x18 / 0.13627866)))))) * 1.0961523)"
92,13.109556,"((((((x28 - sqrt(x57 / 0.7935345)) - -1.3017454) - (x18 - ((sqrt(x22) + (((((sqrt(x28) + x64) - sqrt(x61)) * 5.0306845) - sqrt(x53)) - 2.7622633)) - ((x61 * -0.9517391) - (x28 * -3.924135))))) - (sqrt(x59) + x64)) + (((sqrt(x18) + -2.2798023) + ((((sqrt(x17) + ((3.477744 - x27) * sqrt(sqrt(x25)))) + sqrt(x18 / 0.13627866)) + ((((sqrt(x20) + (x28 - sqrt(x55))) - x64) - sqrt(x51 + 0.3347596)) + x28)) - -0.7886504)) + (x65 + (sqrt(x27) * 4.070361)))) - -0.23259084) * 1.0961523"
93,13.039376,"1.0961523 * ((((((x65 + ((((sqrt(sqrt(x25)) * 3.229875) + ((sqrt(x18) + ((sqrt(x18 / 0.13627866) + (((sqrt(x20) + x28) - sqrt(x55)) - (x15 * -0.19635487))) - sqrt(0.76713556 + x51))) + (sqrt(x17) - x27))) + x28) - -0.7886504)) + (sqrt(x27) * 4.070361)) + -2.2798023) + ((x28 - sqrt(x57)) - -1.3017454)) - (x18 - (sqrt(x22) + ((((((x64 - sqrt(x61)) + sqrt(x28)) * 5.0306845) - sqrt(x53)) - 2.7622633) - ((x61 * -0.9517391) - (x28 * -3.924135)))))) - ((x64 + sqrt(x59)) + abs(x64)))"
96,13.011969,"(((((x65 + (sqrt(sqrt(x25)) * 3.229875)) + ((((sqrt(x18) + (sqrt(x18 / 0.13627866) + ((((sqrt(x20) + x28) - sqrt(x55)) - (x15 * -0.19635487)) - -0.5221221))) - sqrt(x51 + 0.76713556)) + sqrt(x17)) - x27)) + (x28 - -0.7886504)) + (((sqrt(x27) * 4.070361) + -2.2798023) + ((((x28 - sqrt(x57)) - -1.3017454) - (x18 - ((((sqrt(x22) + ((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845)) - sqrt(x53)) - 2.7622633) - ((x61 * -0.9517391) - (x28 * -3.924135))))) - (sqrt(x59) + (x64 + x64))))) * 1.0961523) - 0.40688062"
100,13.011892,"((1.0961523 * (((x65 + (((((sqrt(sqrt(x25)) * 3.229875) + ((sqrt(x18) + ((((sqrt(x18 / 0.13627866) + (sqrt(x20) + x28)) - sqrt(x55)) - (x15 * -0.19635487)) - -0.42232576)) - sqrt(0.76713556 + x51))) + sqrt(x17)) - x27) + ((x28 - -0.7886504) + (sqrt(x27) * 4.070361)))) + -2.2798023) + (((((x28 - sqrt(x57)) - -1.3017454) - (x18 - (((sqrt(x22) + (((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845) - sqrt(x53))) - 2.7622633) - ((x61 * -0.9517391) - (x28 * -3.924135))))) - ((sqrt(x59) + x64) + x64)) - 0.40688062))) + 0.15303186) - x69"
102,12.984595,"((1.0961523 * (((x65 + ((((((sqrt(sqrt(x25)) * 3.229875) + ((sqrt(x18) + ((((sqrt(x18 / 0.13627866) + (sqrt(x20) + x28)) - sqrt(x55)) - (x15 * -0.19635487)) - -0.42232576)) - sqrt(0.76713556 + x51))) + sqrt(x17)) - (x27 - 0.24786896)) + (x28 - -0.7886504)) + (sqrt(x27) * 4.070361))) + -2.2798023) + ((((x28 - sqrt(x57 / 0.7935345)) - -1.3017454) - (x18 - ((sqrt(x22) + ((((sqrt(x28) + (x64 - sqrt(x61))) * 5.0306845) - sqrt(x53)) - 2.7622633)) - ((x61 * -0.9517391) - (x28 * -3.924135))))) - ((sqrt(x59) + x64) + x64)))) + 0.18746345) - 0.40688062"
121,12.90961,"(x65 + ((sqrt(x27 * x33) + ((sqrt(x18) + (((sqrt(x20) + ((((x28 - abs(x15)) - x11) * -0.38778913) + (((sqrt(sqrt(x27)) * 3.33952) + ((sqrt(x18 / 0.521061) - sqrt(x59)) - sqrt(x55))) - -1.1454357))) - (x27 - (((((-0.37282327 / ((0.14146146 - square(x23 - 0.30739567)) + x24)) - (x61 * -1.1454357)) + (((sqrt(x28) + 1.7397562) - sqrt(x61)) * (5.386463 - sqrt(sqrt(x48))))) * 0.8433209) - sqrt(x51)))) + ((x28 + (sqrt(x18 / 0.48376817) - sqrt(x59))) - sqrt(x57)))) - (x18 - ((((sqrt(x22) + (((sqrt(x28) + x64) - sqrt(x61)) * 5.495802)) - sqrt(x53)) - 2.638806) - ((x61 / -1.0958124) - (x28 * -2.8089733)))))) + -3.4136107)) * 0.7573556"
